Velocity,Wrench,dWrench,PBO_index,Assistance Level
-0.2,-150.0,-50.0,-1.0,-0.0
-0.2,-150.0,-42.30769230769231,-1.0,-0.0
-0.2,-150.0,-34.61538461538461,-1.0,-0.0
-0.2,-150.0,-26.923076923076923,-1.0,-0.0
-0.2,-150.0,-19.23076923076923,-1.0,-0.0
-0.2,-150.0,-11.53846153846154,-1.0,-0.0
-0.2,-150.0,-3.8461538461538467,-1.0,-0.0
-0.2,-150.0,3.8461538461538467,-1.0,0.0
-0.2,-150.0,11.53846153846154,-1.0,0.0
-0.2,-150.0,19.230769230769226,-1.0,0.0
-0.2,-150.0,26.92307692307692,-1.0,0.0
-0.2,-150.0,34.61538461538461,-1.0,0.0
-0.2,-150.0,42.30769230769231,-1.0,0.0
-0.2,-150.0,50.0,-1.0,0.0
-0.2,-126.92307692307692,-50.0,-1.0,-0.0
-0.2,-126.92307692307692,-42.30769230769231,-1.0,-0.0
-0.2,-126.92307692307692,-34.61538461538461,-1.0,-0.0
-0.2,-126.92307692307692,-26.923076923076923,-1.0,-0.0
-0.2,-126.92307692307692,-19.23076923076923,-1.0,-0.0
-0.2,-126.92307692307692,-11.53846153846154,-1.0,-0.0
-0.2,-126.92307692307692,-3.8461538461538467,-1.0,-0.0
-0.2,-126.92307692307692,3.8461538461538467,-1.0,0.0
-0.2,-126.92307692307692,11.53846153846154,-1.0,0.0
-0.2,-126.92307692307692,19.230769230769226,-1.0,0.0
-0.2,-126.92307692307692,26.92307692307692,-1.0,0.0
-0.2,-126.92307692307692,34.61538461538461,-1.0,0.0
-0.2,-126.92307692307692,42.30769230769231,-1.0,0.0
-0.2,-126.92307692307692,50.0,-1.0,0.0
-0.2,-103.84615384615384,-50.0,-1.0,-0.0
-0.2,-103.84615384615384,-42.30769230769231,-1.0,-0.0
-0.2,-103.84615384615384,-34.61538461538461,-1.0,-0.0
-0.2,-103.84615384615384,-26.923076923076923,-1.0,-0.0
-0.2,-103.84615384615384,-19.23076923076923,-1.0,-0.0
-0.2,-103.84615384615384,-11.53846153846154,-1.0,-0.0
-0.2,-103.84615384615384,-3.8461538461538467,-1.0,-0.0
-0.2,-103.84615384615384,3.8461538461538467,-1.0,0.0
-0.2,-103.84615384615384,11.53846153846154,-1.0,0.0
-0.2,-103.84615384615384,19.230769230769226,-1.0,0.0
-0.2,-103.84615384615384,26.92307692307692,-1.0,0.0
