Velocity,Wrench,dWrench,PBO_index,Assistance Level
-0.1,-15.0,-40.0,-1.0,-0.0
-0.1,-15.0,-34.285714285714285,-1.0,-0.0
-0.1,-15.0,-28.57142857142857,-1.0,-0.0
-0.1,-15.0,-22.857142857142858,-1.0,-0.0
-0.1,-15.0,-17.142857142857142,-1.0,-0.0
-0.1,-15.0,-11.428571428571427,-1.0,-0.0
-0.1,-15.0,-5.714285714285715,-1.0,-0.0
-0.1,-15.0,0.0,-1.0,0.0
-0.1,-15.0,5.714285714285715,-1.0,0.0
-0.1,-15.0,11.42857142857143,-1.0,0.0
-0.1,-15.0,17.142857142857146,-1.0,0.0
-0.1,-15.0,22.85714285714286,-1.0,0.0
-0.1,-15.0,28.57142857142857,-1.0,0.0
-0.1,-15.0,34.28571428571429,-1.0,0.0
-0.1,-15.0,40.0,-1.0,0.0
-0.1,-12.857142857142858,-40.0,-1.0,-0.0
-0.1,-12.857142857142858,-34.285714285714285,-1.0,-0.0
-0.1,-12.857142857142858,-28.57142857142857,-1.0,-0.0
-0.1,-12.857142857142858,-22.857142857142858,-1.0,-0.0
-0.1,-12.857142857142858,-17.142857142857142,-1.0,-0.0
-0.1,-12.857142857142858,-11.428571428571427,-1.0,-0.0
-0.1,-12.857142857142858,-5.714285714285715,-1.0,-0.0
-0.1,-12.857142857142858,0.0,-1.0,0.0
-0.1,-12.857142857142858,5.714285714285715,-1.0,0.0
-0.1,-12.857142857142858,11.42857142857143,-1.0,0.0
-0.1,-12.857142857142858,17.142857142857146,-1.0,0.0
-0.1,-12.857142857142858,22.85714285714286,-1.0,0.0
-0.1,-12.857142857142858,28.57142857142857,-1.0,0.0
-0.1,-12.857142857142858,34.28571428571429,-1.0,0.0
-0.1,-12.857142857142858,40.0,-1.0,0.0
-0.1,-10.714285714285715,-40.0,-1.0,-0.0
-0.1,-10.714285714285715,-34.285714285714285,-1.0,-0.0
-0.1,-10.714285714285715,-28.57142857142857,-1.0,-0.0
-0.1,-10.714285714285715,-22.857142857142858,-1.0,-0.0
-0.1,-10.714285714285715,-17.142857142857142,-1.0,-0.0
-0.1,-10.714285714285715,-11.428571428571427,-1.0,-0.0
